ID,TipoConstrução,Zoneamento,FrenteLote,AreaLote,Rua,ConfigLote,Vizinhanca,TipoImovel,EstiloCasa,QualidadeGeral,CondicaoGeral,AnoConstrucao,AnoReforma,QualidadeExterior,CondicaoExterior,Fundacao,QualiPorao,CondiPorao,AreaTotalPorao,AreaHabitavel,NumeroQuarto,NumeroCozinha,TotalComodos,NumeroVagas,AreaVagas,AnoVenda,PrecoVenda
1,60,Residencial_Baixa,65.0,8450,Pavimentada,Interno,CollgCr,Casa Unifamiliar,Dois Andar,7,5,2003,2003,Boa,Media,Concreto Vazado,Boa,Media,856.0,1710,3,1,8,2.0,548.0,2008,208500.0
2,20,Residencial_Baixa,80.0,9600,Pavimentada,Frente Dupla,Veenker,Casa Unifamiliar,Um Andar,6,8,1976,1976,Media,Media,Blocos de Concreto,Boa,Media,1262.0,1262,3,1,6,2.0,460.0,2007,181500.0
3,60,Residencial_Baixa,68.0,11250,Pavimentada,Interno,CollgCr,Casa Unifamiliar,Dois Andar,7,5,2001,2002,Boa,Media,Concreto Vazado,Boa,Media,920.0,1786,3,1,6,2.0,608.0,2008,223500.0
4,70,Residencial_Baixa,60.0,9550,Pavimentada,Esquina,Crawfor,Casa Unifamiliar,Dois Andar,7,5,1915,1970,Media,Media,Tijolos e Pedra,Media,Boa,756.0,1717,3,1,7,3.0,642.0,2006,140000.0
5,60,Residencial_Baixa,84.0,14260,Pavimentada,Frente Dupla,NoRidge,Casa Unifamiliar,Dois Andar,8,5,2000,2000,Boa,Media,Concreto Vazado,Boa,Media,1145.0,2198,4,1,9,3.0,836.0,2008,250000.0
6,50,Residencial_Baixa,85.0,14115,Pavimentada,Interno,Mitchel,Casa Unifamiliar,Um e Meio Andar Finalizado,5,5,1993,1995,Media,Media,Madeira,Boa,Media,796.0,1362,1,1,5,2.0,480.0,2009,143000.0
7,20,Residencial_Baixa,75.0,10084,Pavimentada,Interno,Somerst,Casa Unifamiliar,Um Andar,8,5,2004,2005,Boa,Media,Concreto Vazado,Excelente,Media,1686.0,1694,3,1,7,2.0,636.0,2007,307000.0
8,60,Residencial_Baixa,,10382,Pavimentada,Esquina,NWAmes,Casa Unifamiliar,Dois Andar,7,6,1973,1973,Media,Media,Blocos de Concreto,Boa,Media,1107.0,2090,3,1,7,2.0,484.0,2009,200000.0
9,50,Residencial_Media,51.0,6120,Pavimentada,Interno,OldTown,Casa Unifamiliar,Um e Meio Andar Finalizado,7,5,1931,1950,Media,Media,Tijolos e Pedra,Media,Media,952.0,1774,2,2,8,2.0,468.0,2008,129900.0
10,190,Residencial_Baixa,50.0,7420,Pavimentada,Esquina,BrkSide,Conversao duas familias,Um e Meio Andar Inacabado,5,6,1939,1950,Media,Media,Tijolos e Pedra,Media,Media,991.0,1077,2,2,5,1.0,205.0,2008,118000.0
11,20,Residencial_Baixa,70.0,11200,Pavimentada,Interno,Sawyer,Casa Unifamiliar,Um Andar,5,5,1965,1965,Media,Media,Blocos de Concreto,Media,Media,1040.0,1040,3,1,5,1.0,384.0,2008,129500.0
13,20,Residencial_Baixa,,12968,Pavimentada,Interno,Sawyer,Casa Unifamiliar,Um Andar,5,6,1962,1962,Media,Media,Blocos de Concreto,Media,Media,912.0,912,2,1,4,1.0,352.0,2008,144000.0
14,20,Residencial_Baixa,91.0,10652,Pavimentada,Interno,CollgCr,Casa Unifamiliar,Um Andar,7,5,2006,2007,Boa,Media,Concreto Vazado,Boa,Media,1494.0,1494,3,1,7,3.0,840.0,2007,279500.0
15,20,Residencial_Baixa,,10920,Pavimentada,Esquina,NAmes,Casa Unifamiliar,Um Andar,6,5,1960,1960,Media,Media,Blocos de Concreto,Media,Media,1253.0,1253,2,1,5,1.0,352.0,2008,157000.0
16,45,Residencial_Media,51.0,6120,Pavimentada,Esquina,BrkSide,Casa Unifamiliar,Um e Meio Andar Inacabado,7,8,1929,2001,Media,Media,Tijolos e Pedra,Media,Media,832.0,854,2,1,5,2.0,576.0,2007,132000.0
17,20,Residencial_Baixa,,11241,Pavimentada,Fim de Rua,NAmes,Casa Unifamiliar,Um Andar,6,7,1970,1970,Media,Media,Blocos de Concreto,Media,Media,1004.0,1004,2,1,5,2.0,480.0,2010,149000.0
18,90,Residencial_Baixa,72.0,10791,Pavimentada,Interno,Sawyer,Duplex,Um Andar,4,5,1967,1967,Media,Media,Laje,,,0.0,1296,2,2,6,2.0,516.0,2006,90000.0
19,20,Residencial_Baixa,66.0,13695,Pavimentada,Interno,SawyerW,Casa Unifamiliar,Um Andar,5,5,2004,2004,Media,Media,Concreto Vazado,Media,Media,1114.0,1114,3,1,6,2.0,576.0,2008,159000.0
20,20,Residencial_Baixa,70.0,7560,Pavimentada,Interno,NAmes,Casa Unifamiliar,Um Andar,5,6,1958,1965,Media,Media,Blocos de Concreto,Media,Media,1029.0,1339,3,1,6,1.0,294.0,2009,139000.0
21,60,Residencial_Baixa,101.0,14215,Pavimentada,Esquina,NridgHt,Casa Unifamiliar,Dois Andar,8,5,2005,2006,Boa,Media,Concreto Vazado,Excelente,Media,1158.0,2376,4,1,9,3.0,853.0,2006,325300.0
22,45,Residencial_Media,57.0,7449,Pavimentada,Interno,IDOTRR,Casa Unifamiliar,Um e Meio Andar Inacabado,7,7,1930,1950,Media,Media,Concreto Vazado,Media,Media,637.0,1108,3,1,6,1.0,280.0,2007,139400.0
